,all funders software spend,all funders spend,software spend as percentage of spend on all grants,AHRC total spend,AHRC software spend,AHRC software spend %,BBSRC total spend,BBSRC software spend,BBSRC software spend %,EPSRC total spend,EPSRC software spend,EPSRC software spend %,ESRC total spend,ESRC software spend,ESRC software spend %,MRC total spend,MRC software spend,MRC software spend %,NC3Rs total spend,NC3Rs software spend,NC3Rs software spend %,NERC total spend,NERC software spend,NERC software spend %,STFC total spend,STFC software spend,STFC software spend %
2000,272763.4375,3757979.0708277836,7.26,,,,,,,,,,,,,3757979.070827783,272763.4375,7.26,,,,,,,,,
2001,272763.4375,14394319.46693168,1.89,,,,,,,,,,,,,14394319.466931678,272763.4375,1.89,,,,,,,,,
2002,444411.7517857143,23251498.362169776,1.91,,,,,,,,,,,,,23251498.362169772,444411.7517857143,1.91,,,,,,,,,
2003,585944.7517857143,29792870.287566602,1.97,,,,,,,,,,,,,29475239.468122154,585944.7517857143,1.99,,,,,,,317630.81944444444,,
2004,859827.9351190476,44377635.99232851,1.94,,,,,,,,,,,,,42297106.3157412,859827.9351190475,2.03,,,,,,,2080529.6765873015,,
2005,3592820.535119048,78657623.5673285,4.57,,,,,,,,,,,,,72973777.63836025,2957008.135119048,4.05,,,,,,,5683845.9289682545,635812.4,11.19
2006,107059811.70059523,385492875.419024,27.77,15921724.64047619,2060437.7833333334,12.94,46470115.02380952,5605725.283333333,12.06,129636849.04296535,64655649.577380955,49.87,23960573.47857143,3942152.711904762,16.45,112896529.1828047,5104659.785119047,4.52,,,,13590759.333333334,5118331.30952381,37.66,43016324.717063494,20572855.25,47.83
2007,203356052.22083333,696045545.5577602,29.22,34304044.940476194,7409552.9,21.6,110735925.53928572,18744457.783333335,16.93,249779256.96082246,115323857.23571429,46.17,52607986.61666667,9311274.46190476,17.7,144687773.52273142,7131752.927976191,4.93,,,,34372987.01071429,14095143.71190476,41.01,69557570.96706349,31340013.2,45.06
2008,320025442.79583335,1002560581.7710721,31.92,40261755.50595238,9855119.174999999,24.48,164758013.8845238,32866456.65238095,19.95,377208609.805267,184711187.07380953,48.97,87879690.65238094,16499373.492857143,18.77,178643004.56400126,11657161.282738095,6.53,619980.25,133139.75,21.47,53294943.63214286,22819746.495238096,42.82,99894583.47680375,41483258.87380952,41.53
2009,378614850.03154767,1214556029.6496434,31.17,41266034.510714285,10203127.879761904,24.73,198053703.8702381,40763008.07380952,20.58,454112618.0886003,208262060.91428572,45.86,103526833.34047619,19897644.459523812,19.22,207740749.01201716,14428732.885119047,6.95,1698217.35,133139.75,7.84,70387986.15357143,27696204.945238095,39.35,137769887.324026,57230931.123809524,41.54
2010,432122256.72559524,1324697476.2151196,32.62,43333385.077380955,12226666.91309524,28.22,206369700.4940476,47462512.20714285,23.0,522158145.8707432,249077527.92261904,47.7,112656165.02777778,18762282.826190475,16.65,228362630.93820763,15180745.054166665,6.65,2992534.8833333333,133139.75,4.45,88197930.13531747,37784324.91190477,42.84,120626983.78831169,51495057.14047619,42.69
2011,430444991.4165043,1299614750.280812,33.12,37885951.641666666,10618088.379761904,28.03,192658782.97142857,46566083.37380952,24.17,519440686.47409815,251612820.595671,48.44,111019423.18968253,16963367.976190478,15.28,229917878.49221194,15082082.670833334,6.56,3900387.5833333335,133139.75,3.41,95711775.22222222,43099218.46309524,45.03,109079864.70616883,46370190.20714286,42.51
2012,475311000.04864717,1353367153.5345278,35.12,43009085.49166666,11257414.813095238,26.17,193689788.76309523,48321126.79047619,24.95,534724063.527886,267591605.75876626,50.04,114274152.33015873,19871503.476190478,17.39,238502953.35920328,19273460.011309523,8.08,4057180.9833333334,177656.65,4.38,107854254.13650793,47240133.675,43.8,117255674.94267677,61578098.873809524,52.52
2013,510421233.1795995,1423398233.7263443,35.86,50515730.901190475,14170937.763095237,28.05,205944818.7702381,51023489.59285714,24.78,576313227.0443362,293307866.44448054,50.89,127700516.7968254,24117266.428571425,18.89,251907699.34885532,30435346.032738097,12.08,4760344.233333333,764622.2333333334,16.06,120827589.7126984,54836813.09642857,45.38,85428306.91886723,41764891.58809523,48.89
2014,552829468.5379329,1493440455.3754785,37.02,58146857.83452381,17314720.296428572,29.78,246473669.60595238,69100830.14285713,28.04,552576279.6660894,288019411.495671,52.12,148995741.5468254,33778298.62857143,22.67,276855004.46909344,45057608.744642854,16.27,4632351.5,1037809.6666666667,22.4,119459689.45793651,57203679.932142854,47.89,86300861.29505771,41317109.63095238,47.88
2015,621823609.6612012,1661925453.690414,37.42,54656606.544047624,16004632.129761904,29.28,259969199.15238094,73921818.74047619,28.43,593016070.8929293,308306580.43798697,51.99,151513970.55396825,43178906.79761905,28.5,377808525.9548077,68035423.05654761,18.01,4502501.3,1091019.9166666667,24.23,120235777.86150794,59955599.45833333,49.87,100222801.430772,51329629.12380952,51.22
2016,670458426.0582252,1748909965.5921993,38.34,57892670.647619046,14183396.783333331,24.5,260123304.7261905,69768909.11904761,26.82,672986460.0357864,349751910.340368,51.97,153542682.39920634,44498130.430952385,28.98,359650626.49111724,66537689.819047615,18.5,4224979.433333334,1116143.3333333333,26.42,135992708.4781746,67236401.375,49.44,104496533.38077201,57365844.85714285,54.9
2017,686121616.1350648,1811427546.6320262,37.88,66203742.64761905,14403568.166666666,21.76,266190769.6190476,66948080.83571429,25.15,726951195.1454546,363674226.2362554,50.03,183908092.83968255,52722074.36428572,28.67,306545608.42008543,51305060.31666666,16.74,3740820.1166666667,773076.3500000001,20.67,147591316.03531748,75355622.875,51.06,110296001.80815296,60939906.99047619,55.25
2018,607238592.252922,1651464436.3681371,36.77,59398667.25,14747175.066666666,24.83,248646972.79999998,61355115.26904762,24.68,688114107.8133116,317157190.6636363,46.09,163154013.0277778,44658555.63095239,27.37,261216574.1343712,48231163.833333336,18.46,2948559.616666666,773076.3500000001,26.22,131438451.80674604,67730457.0154762,51.53,96547089.91926408,52585858.42380953,54.47
2019,450882731.7791126,1210897149.9048257,37.24,35468805.800000004,8674261.316666666,24.46,174808393.17499998,41963237.61904762,24.01,542548607.821645,240560839.78387445,44.34,105230322.27619049,30845988.214285716,29.31,178278068.57960927,34588576.1095238,19.4,1954989.0833333333,445099.8333333333,22.77,99426694.27857143,52244281.37857143,52.55,73181268.8904762,41560447.52380952,56.79
2020,249464127.34935063,728084663.9541848,34.26,19404617.833333332,4765753.283333333,24.56,94655182.4690476,19184336.816666663,20.27,365268080.72283554,141824293.40411255,38.83,65400407.93095238,17569845.083333336,26.87,89363948.71944445,15687886.82142857,17.56,596897.8333333333,230099.3333333333,38.55,59166400.33571429,30710403.314285714,51.91,34229128.1095238,19491509.29285714,56.94
2021,122479692.65411255,357548769.8946609,34.26,7478422.233333332,770018.35,10.3,37317188.45952381,5171130.5,13.86,179365532.76807362,74903936.62792207,41.76,41323198.159523815,9278943.683333334,22.45,43519861.652777776,6200907.033333333,14.25,160078.8333333333,85375.33333333333,53.33,31972062.888095237,18983986.626190476,59.38,16412424.9,7085394.5,43.17
2022,36427862.08463204,96715606.04606782,37.66,407933.5,,,5538234.842857143,877160.2,15.84,69258407.58971861,30389313.3012987,43.88,6543302.166666666,1171784.8333333335,17.91,10591458.225396825,1508586.3333333335,14.24,,,,4179018.2214285713,2283765.9166666665,54.65,197251.5,197251.5,100.0
2023,16078100.30844156,27085339.754184704,59.36,,,,139875.83333333334,,,24380478.593073595,14884065.725108225,61.05,583012.6666666666,160113.5,27.46,1516314.611111111,684142.8333333334,45.12,,,,268406.55,152526.75,56.83,197251.5,197251.5,100.0
2024,3830160.665584416,5274537.340909091,72.62,,,,,,,5122010.590909091,3677633.9155844157,71.8,,,,,,,,,,152526.75,152526.75,100.0,,,
2025,125477.27272727274,125477.27272727274,100.0,,,,,,,125477.27272727274,125477.27272727274,100.0,,,,,,,,,,,,,,,
2026,69720.63636363637,69720.63636363637,100.0,,,,,,,69720.63636363637,69720.63636363637,100.0,,,,,,,,,,,,,,,
2027,69720.63636363637,69720.63636363637,100.0,,,,,,,69720.63636363637,69720.63636363637,100.0,,,,,,,,,,,,,,,
